frame,labelimageId,trackId,lineageId,parentTrackId,mergerLabelId,Convexity_0,Number_of_Defects_0,Mean_Defect_Displacement_0,Mean_Defect_Area_0,Variance_of_Defect_Area_0,Convex_Hull_Center_0,Convex_Hull_Center_1,Object_Center_0,Object_Center_1,Object_Area_0,Kurtosis_of_Intensity_0,Maximum_intensity_0,Mean_Intensity_0,Minimum_intensity_0,Principal_components_of_the_object_0,Principal_components_of_the_object_1,Principal_components_of_the_object_2,Principal_components_of_the_object_3,Radii_of_the_object_0,Radii_of_the_object_1,Skewness_of_Intensity_0,Total_Intensity_0,Variance_of_Intensity_0,Average_Branch_Length_0,Number_of_Branches_0,Diameter_0,Euclidean_Diameter_0,Number_of_Holes_0,Center_of_the_Skeleton_0,Center_of_the_Skeleton_1,Terminal_1_0,Terminal_1_1,Terminal_2_0,Terminal_2_1,Length_of_the_Skeleton_0,Bounding_Box_Maximum_0,Bounding_Box_Maximum_1,Bounding_Box_Minimum_0,Bounding_Box_Minimum_1,Size_in_pixels_0,Center_of_the_object_0,Center_of_the_object_1
4,2,3,3,0,0,0.504934,4,17.339664,225.750000,69668.914062,415.500000,237.500000,415.472321,240.619980,921.000000,-0.834075,53.000000,27.711184,9.000000,0.633881,-0.773431,0.773431,0.633881,13.681117,5.585796,0.313505,25522.000000,88.759148,8.942592,31,60.426407,55.443665,0,413,238,434.000000,257.000000,399.000000,214.000000,277.220337,434,261,397,214,921.000000,415,240
4,3,4,4,0,0,0.471292,3,18.357840,368.333344,89262.335938,276.000000,414.500000,272.517761,415.210144,985.000000,-0.677666,51.000000,34.085278,14.000000,0.858766,-0.512368,-0.512368,-0.858766,14.866205,5.865709,-0.290868,33574.000000,60.382576,8.758116,35,67.840622,62.769421,0,276,413,249.000000,428.000000,303.000000,396.000000,306.534058,303,433,249,396,985.000000,272,415
4,4,5,5,0,0,0.428571,4,19.854889,384.000000,188094.000000,735.500000,508.500000,735.213562,504.074646,1152.000000,-0.835965,59.000000,34.246529,7.000000,-0.588146,-0.808755,0.808755,-0.588146,16.301147,6.235612,-0.022379,39452.000000,111.435753,9.154037,40,74.669044,65.053825,0,733,508,713.000000,536.000000,759.000000,490.000000,366.161469,759,536,712,481,1152.000000,735,504
4,5,6,6,0,0,0.591034,7,21.181602,84.714287,21444.572266,2054.500000,747.000000,2058.131836,745.392090,857.000000,0.621725,58.000000,30.017504,10.000000,0.968896,0.247468,0.247468,-0.968896,13.597325,5.301634,0.763651,25725.000000,76.953018,8.541740,31,62.798988,58.694122,0,2054,744,2083.000000,750.000000,2026.000000,736.000000,264.793945,2083,759,2026,735,857.000000,2058,745
4,6,7,7,0,0,0.809524,5,12.050116,18.400000,92.300003,1998.000000,839.000000,1998.071655,839.580566,391.000000,-0.374732,23.000000,13.828645,4.000000,0.366955,-0.930239,0.930239,0.366955,5.848955,5.454061,-0.492390,5407.000000,17.026903,7.360288,17,29.213203,23.323807,0,1997,840,1988.000000,848.000000,2000.000000,828.000000,125.124893,2008,850,1988,828,391.000000,1998,839
4,7,8,8,0,0,0.686386,4,24.689596,110.000000,9094.666992,345.000000,970.000000,339.686401,970.057129,963.000000,-0.653407,52.000000,33.072689,8.000000,0.999496,0.031734,0.031734,-0.999496,14.090249,5.789652,-0.207954,31849.000000,90.777687,18.248589,7,64.556351,60.671246,0,344,971,315.000000,963.000000,375.000000,972.000000,127.740112,375,981,315,959,963.000000,339,970
4,8,9,9,0,0,0.630588,4,25.347685,157.000000,26738.000000,749.500000,1151.000000,756.801331,1150.163208,1072.000000,-0.832076,59.000000,37.743469,5.000000,0.998852,0.047901,0.047901,-0.998852,16.555904,5.625109,-0.458653,40461.000000,175.198181,9.765889,35,70.313705,62.649822,0,751,1150,778.000000,1140.000000,716.000000,1149.000000,341.806122,783,1163,716,1139,1072.000000,756,1150
5,1,2,2,0,0,0.320999,4,21.472368,550.500000,380912.343750,1184.000000,59.000000,1176.929932,57.496639,1041.000000,-0.538278,61.000000,37.540825,6.000000,0.855357,0.518039,0.518039,-0.855357,18.692562,5.137713,-0.478617,39080.000000,137.310776,30.522848,3,81.911690,73.409805,0,1185,62,1217.000000,82.000000,1159.000000,37.000000,91.568542,1218,82,1150,36,1041.000000,1176,57
5,2,3,3,0,0,0.420988,3,15.707255,312.666656,75224.335938,416.500000,238.000000,417.601166,241.863632,682.000000,-0.522453,45.000000,24.032259,9.000000,0.650070,-0.759874,0.759874,0.650070,12.932150,4.530737,0.417897,16390.000000,53.823006,7.587528,28,58.183765,52.497620,0,415,237,434.000000,256.000000,400.000000,216.000000,212.450790,434,260,399,216,682.000000,417,241
5,3,4,4,0,0,0.410998,4,15.969141,259.750000,89492.250000,279.000000,414.500000,275.395874,415.751709,725.000000,-0.721280,45.000000,31.314484,14.000000,0.808287,-0.588789,-0.588789,-0.808287,14.313428,4.599085,-0.243698,22703.000000,48.312134,18.130291,6,62.669048,58.821766,0,278,414,255.000000,431.000000,303.000000,397.000000,108.781746,303,432,255,397,725.000000,275,415
5,4,5,5,0,0,0.399733,3,17.385023,449.000000,138639.000000,735.500000,508.000000,735.790405,504.193970,897.000000,-0.467595,57.000000,31.653288,8.000000,-0.569305,-0.822126,0.822126,-0.569305,15.867671,5.369668,0.011801,28393.000000,88.558723,7.548707,40,67.911690,63.031738,0,734,508,714.000000,533.000000,756.000000,486.000000,301.948273,757,533,714,483,897.000000,735,504
